official_name,FECID,nothing_2024,firstname,lastname,bioname,state,state_abb,district,incumbent,level,electoral_district,office_name,candidate_UUID,party_ID,DOB,race,gender,person_UUID,ICPSR,state_ICPSR,bioguide_ID,nominate_dim1,office_facebook_page,office_instagram_account,office_twitter_account,office_youtube_account,office_tiktok_account,campaign_facebook_page,campaign_instagram_account,campaign_twitter_account,campaign_youtube_account,campaign_tiktok_account,office_truthsocial_account,campaign_truthsocial_account,office_telegram_account,campaign_telegram_account,office_gettr_account,campaign_gettr_account,office_rumble_account,campaign_rumble_account,cook_2024,competitive,seatup_2024,cookreport24_raw,party_standardized
A. Wayne Johnson,H2GA02163,0.0,A.,Johnson,,Georgia,GA,2.0,Non-Incumbent,country,Georgia's 2nd congressional district,U.S. Representative,500ce319-d71f-50f9-aaf3-f75cc5c0a66a,Republican Party,,,,502cae1b-5bf6-47ad-a8b2-da07395760fc,,,,,,,,,,https://www.facebook.com/waynejohnsoncongress/,https://www.instagram.com/waynejohnson4ga/,https://twitter.com/WayneJohnson4GA,https://www.youtube.com/@waynejohnsonforunitedstate6524,https://www.youtube.com/@waynejohnsonforunitedstate6524,,,,,,,,,Not Competitive,0.0,,,Republican Party
Aaron Bashir,H4PA02069,0.0,Aaron,Bashir,,Pennsylvania,PA,2.0,Non-Incumbent,country,Pennsylvania's 2nd congressional district,U.S. Representative,af221269-2737-5872-aa12-39577cc96347,Republican Party,4/19/80,,,2a285965-afc1-4fc1-8ec2-6af6a577136e,,,,,,,,,,https://www.facebook.com/BashirforU.S.Congress,https://www.instagram.com/aaronforstate/,https://twitter.com/aaron_bashir,https://www.youtube.com/channel/UCNDarimCa7LP2p6vQHEellg/featured?view_as=subscriber,,,https://truthsocial.com/@Bashirforcongress02,,,,,,,Not Competitive,0.0,,,Republican Party
Aaron Bean,H2FL04211,0.0,Aaron,Bean,"BEAN, Aaron",Florida,FL,4.0,Incumbent,country,Florida's 4th congressional district,U.S. Representative,c8725eed-4dba-5e81-9814-cee5e5886e56,Republican Party,1/25/67,White,Male,85929d47-59fb-4c98-aa8a-ed65c66d7f3d,22302.0,43.0,B001314,0.666,https://www.facebook.com/people/Congressman-Aaron-Bean/100089355874563/,https://www.instagram.com/RepAaronBean/,https://twitter.com/RepAaronBean,https://www.youtube.com/@RepAaronBean/featured,,https://www.facebook.com/AaronBeanforCongress,https://www.instagram.com/aaronpbean/,https://twitter.com/AaronPBean,https://www.youtube.com/channel/UCRUXWEoksCyUZA8Ua7XVjCg,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Aaron Dimmock,H4FL01213,0.0,Aaron,Dimmock,,Florida,FL,1.0,Non-Incumbent,country,Florida's 1st congressional district,U.S. Representative,931b9b02-73ec-5d12-8d21-498971977e64,Republican Party,,,,cd77599c-9748-4718-9a09-175953bec0eb,,,,,,,,,,https://www.facebook.com/AaronDimmockforCongress,,https://twitter.com/DimmockforFL,,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Abdur Sikder,H4CA12246,0.0,Abdur,Sikder,,California,CA,12.0,Non-Incumbent,country,California's 12th congressional district,U.S. Representative,d2b70e2e-edad-5974-b6d0-99b4d99bde05,Democratic Party,,,,90a99882-1759-4f40-99b9-20a2c308c102,,,,,,,,,,,,,https://www.youtube.com/@abdurr.sikder9460,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Abhiram Garapati,H0TX31030,0.0,Abhiram,Garapati,,Texas,TX,31.0,Non-Incumbent,country,Texas's 31st congressional district,U.S. Representative,f42206b8-821e-5a5c-bb56-32c6f7666a45,Republican Party,,,,94515789-fb50-4a8e-85f7-3ea114eddaee,,,,,,,,,,https://www.facebook.com/GarapatiForTexas/,https://www.instagram.com/garapatiabhiram,https://twitter.com/garapati4texas,https://www.youtube.com/@abhiramgarapati6767,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Abigail Diehl,H4MD03206,0.0,Abigail,Diehl,,Maryland,MD,3.0,Non-Incumbent,country,Maryland's 3rd congressional district,U.S. Representative,4f3b4e5b-89ea-5a87-8309-ae67decee901,Democratic Party,,,,0f6b5580-4c2a-4417-bbf4-de88a34c99dd,,,,,,,,,,https://www.facebook.com/Diehlmd03,https://www.instagram.com/diehlmd03,https://x.com/Diehlmd03,,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Abigail Spanberger,H8VA07094,0.0,Abigail,Spanberger,"SPANBERGER, Abigail",Virginia,VA,7.0,Incumbent; Ran for Governor,country,Virginia's 7th congressional district,U.S. Representative,7747e11f-5fdb-5df9-80fd-dffdeaa7fe0a,Democratic Party,8/7/79,White,Female,0f3e6a71-e8ee-41ab-98d6-1d7ea8cc38f8,21966.0,40.0,S001209,-0.197,https://www.facebook.com/RepSpanberger,https://www.instagram.com/repspanberger/,https://twitter.com/RepSpanberger,https://www.youtube.com/@RepSpanberger,,https://www.facebook.com/SpanbergerForCongress,https://www.instagram.com/abigailspanberger/,https://twitter.com/SpanbergerVA07,https://www.youtube.com/channel/UCxJTgExEfcqCdIj4SMJyqrQ,,,,,,,,,,Lean Democrat,1.0,,,Democratic Party
Abraham Hamadeh,H4AZ08108,0.0,Abraham,Hamadeh,,Arizona,AZ,8.0,Non-Incumbent,country,Arizona's 8th congressional district,U.S. Representative,2c3acc95-f740-59f4-b281-55e7ef7faca3,Republican Party,5/15/91,,,dbe7b0f9-d8c9-4a03-a8e3-a4e398cc0da3,,,,,,,,,,https://www.facebook.com/AbeHamadeh,https://www.instagram.com/abrahamhamadeh/?hl=en,https://x.com/AbrahamHamadeh,https://www.youtube.com/@abeforaz,,,https://truthsocial.com/@abrahamhamadeh,,,,https://gettr.com/user/abrahamhamadeh,,https://rumble.com/user/abrahamhamadeh,Not Competitive,0.0,,,Republican Party
Adam Barajas,H4CA06180,0.0,Adam,Barajas,,California,CA,6.0,Non-Incumbent,country,California's 6th congressional district,U.S. Representative,bda09515-f425-544d-9604-43e772ada4c3,Democratic Party,,,,0bff399d-421c-4015-a147-814907320ed8,,,,,,,,,,,https://www.instagram.com/adambarajas_,https://twitter.com/AdamBarajas_,https://www.youtube.com/@AdamBarajas,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
